Frequency ,Date,Rank,Player,Source,
Monthly,2017-08-01,19,Joey Chan,https://www.psasquashtour.com/news/el-sherbini-tops-women-s-world-rankings-for-16th-consecutive-month/,
Monthly,2017-08-01,20,Salma Hany,https://www.psasquashtour.com/news/el-sherbini-tops-women-s-world-rankings-for-16th-consecutive-month/,
Monthly,2017-09-01,1,Nour El Sherbini,https://www.facebook.com/SquashStars/,
Monthly,2017-09-01,2,Raneem El Welily,https://www.facebook.com/SquashStars/,
Monthly,2017-09-01,3,Camille Serme,https://www.facebook.com/SquashStars/,
Monthly,2017-09-01,4,Laura Massaro,https://www.facebook.com/SquashStars/,
Monthly,2017-09-01,5,Nicol David,https://www.facebook.com/SquashStars/,
Monthly,2017-09-01,6,Sarah-Jane Perry,https://www.facebook.com/SquashStars/,
Monthly,2017-09-01,7,Nouran Gohar,https://www.facebook.com/SquashStars/,
Monthly,2017-09-01,8,Alison Waters,https://www.facebook.com/SquashStars/,
Monthly,2017-09-01,9,Amanda Sobhy,https://www.facebook.com/SquashStars/,
Monthly,2017-09-01,10,Annie Au,https://www.facebook.com/SquashStars/,
Monthly,2017-09-01,11,Joelle King,https://www.facebook.com/SquashStars/,
Monthly,2017-09-01,12,Joshna Chinappa,https://www.facebook.com/SquashStars/,
Monthly,2017-09-01,13,Emily Whitlock,https://www.facebook.com/SquashStars/,
Monthly,2017-09-01,14,Nour El Tayeb,https://www.facebook.com/SquashStars/,
Monthly,2017-09-01,15,Tesni Murphy,https://www.facebook.com/SquashStars/,
Monthly,2017-09-01,16,Victoria Lust,https://www.facebook.com/SquashStars/,
Monthly,2017-09-01,17,Olivia Clyne,https://www.facebook.com/SquashStars/,
Monthly,2017-09-01,18,Donna Lobban,https://www.facebook.com/SquashStars/,
Monthly,2017-09-01,19,Joey Chan,https://www.facebook.com/SquashStars/,
Monthly,2017-09-01,20,Salma Hany,https://www.facebook.com/SquashStars/,
Monthly,2017-10-01,1,Nour El Sherbini,https://www.worldsquash.org/world-rankings-october-2017/,
Monthly,2017-10-01,2,Camille Serme,https://www.worldsquash.org/world-rankings-october-2017/,
Monthly,2017-10-01,3,Raneem El Welily,https://www.worldsquash.org/world-rankings-october-2017/,
Monthly,2017-10-01,4,Laura Massaro,https://www.worldsquash.org/world-rankings-october-2017/,
Monthly,2017-10-01,5,Nouran Gohar,https://www.worldsquash.org/world-rankings-october-2017/,
Monthly,2017-10-01,6,Nicol David,https://www.worldsquash.org/world-rankings-october-2017/,
Monthly,2017-10-01,7,Sarah-Jane Perry,https://www.worldsquash.org/world-rankings-october-2017/,
Monthly,2017-10-01,8,Alison Waters,https://www.worldsquash.org/world-rankings-october-2017/,
Monthly,2017-10-01,9,Annie Au,https://www.worldsquash.org/world-rankings-october-2017/,
Monthly,2017-10-01,10,Joelle King,https://www.worldsquash.org/world-rankings-october-2017/,
Monthly,2017-10-01,11,Amanda Sobhy,https://www.worldsquash.org/world-rankings-october-2017/,
Monthly,2017-10-01,12,Emily Whitlock,https://www.worldsquash.org/world-rankings-october-2017/,
Monthly,2017-10-01,13,Joshna Chinappa,https://www.worldsquash.org/world-rankings-october-2017/,
Monthly,2017-10-01,14,Nour El Tayeb,https://www.worldsquash.org/world-rankings-october-2017/,
Monthly,2017-10-01,15,Victoria Lust,https://www.worldsquash.org/world-rankings-october-2017/,
Monthly,2017-10-01,16,Olivia Clyne,https://www.worldsquash.org/world-rankings-october-2017/,
Monthly,2017-10-01,17,Tesni Murphy,https://www.worldsquash.org/world-rankings-october-2017/,
Monthly,2017-10-01,18,Donna Lobban,https://www.worldsquash.org/world-rankings-october-2017/,
Monthly,2017-10-01,19,Salma Hany,https://www.worldsquash.org/world-rankings-october-2017/,
Monthly,2017-10-01,20,Joey Chan,https://www.worldsquash.org/world-rankings-october-2017/,
Monthly,2017-11-01,1,Nour El Sherbini,https://www.psasquashtour.com/news/el-tayeb-returns-to-top-10-in-women-s-november-rankings/,
Monthly,2017-11-01,2,Raneem El Welily,https://www.psasquashtour.com/news/el-tayeb-returns-to-top-10-in-women-s-november-rankings/,
Monthly,2017-11-01,3,Camille Serme,https://www.psasquashtour.com/news/el-tayeb-returns-to-top-10-in-women-s-november-rankings/,
Monthly,2017-11-01,4,Laura Massaro,https://www.psasquashtour.com/news/el-tayeb-returns-to-top-10-in-women-s-november-rankings/,
Monthly,2017-11-01,5,Nouran Gohar,https://www.psasquashtour.com/news/el-tayeb-returns-to-top-10-in-women-s-november-rankings/,
Monthly,2017-11-01,6,Nicol David,https://www.psasquashtour.com/news/el-tayeb-returns-to-top-10-in-women-s-november-rankings/,
Monthly,2017-11-01,7,Sarah-Jane Perry,https://www.psasquashtour.com/news/el-tayeb-returns-to-top-10-in-women-s-november-rankings/,
Monthly,2017-11-01,8,Nour El Tayeb,https://www.psasquashtour.com/news/el-tayeb-returns-to-top-10-in-women-s-november-rankings/,
Monthly,2017-11-01,9,Joelle King,https://www.psasquashtour.com/news/el-tayeb-returns-to-top-10-in-women-s-november-rankings/,
Monthly,2017-11-01,10,Alison Waters,https://www.psasquashtour.com/news/el-tayeb-returns-to-top-10-in-women-s-november-rankings/,
Monthly,2017-11-01,11,Annie Au,https://www.psasquashtour.com/news/el-tayeb-returns-to-top-10-in-women-s-november-rankings/,
Monthly,2017-11-01,12,Emily Whitlock,https://www.psasquashtour.com/news/el-tayeb-returns-to-top-10-in-women-s-november-rankings/,
Monthly,2017-11-01,13,Olivia Clyne,https://www.psasquashtour.com/news/el-tayeb-returns-to-top-10-in-women-s-november-rankings/,
Monthly,2017-11-01,14,Joshna Chinappa,https://www.psasquashtour.com/news/el-tayeb-returns-to-top-10-in-women-s-november-rankings/,
Monthly,2017-11-01,15,Victoria Lust,https://www.psasquashtour.com/news/el-tayeb-returns-to-top-10-in-women-s-november-rankings/,
Monthly,2017-11-01,16,Tesni Murphy,https://www.psasquashtour.com/news/el-tayeb-returns-to-top-10-in-women-s-november-rankings/,
Monthly,2017-11-01,17,Donna Lobban,https://www.psasquashtour.com/news/el-tayeb-returns-to-top-10-in-women-s-november-rankings/,
Monthly,2017-11-01,18,Salma Hany,https://www.psasquashtour.com/news/el-tayeb-returns-to-top-10-in-women-s-november-rankings/,
Monthly,2017-11-01,19,Joey Chan,https://www.psasquashtour.com/news/el-tayeb-returns-to-top-10-in-women-s-november-rankings/,
Monthly,2017-11-01,20,Dipika Pallikal Karthik,https://www.psasquashtour.com/news/el-tayeb-returns-to-top-10-in-women-s-november-rankings/,
